Name,url svg,url gif,url webp,url littie.json
Bowling,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b3/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b3/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b3/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b3/lottie.json
Die,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b2/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b2/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b2/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b2/lottie.json
Slot-machine,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b0/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b0/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b0/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3b0/lottie.json
Camera-flash,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f8/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f8/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f8/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4f8/lottie.json
Violin,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3bb/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3bb/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3bb/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f3bb/lottie.json
Drum,https://fonts.gstatic.com/s/e/notoemoji/latest/1f941/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f941/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f941/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f941/lottie.json
Maracas,https://fonts.gstatic.com/s/e/notoemoji/latest/1fa87/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1fa87/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1fa87/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1fa87/lottie.json
Battery-full,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/lottie.json
Battery-full,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f50b/lottie.json
Battery-low,https://fonts.gstatic.com/s/e/notoemoji/latest/1faab/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1faab/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1faab/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1faab/lottie.json
Money-with-wings,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4b8/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4b8/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4b8/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/1f4b8/lottie.json
Balance-scale,https://fonts.gstatic.com/s/e/notoemoji/latest/2696_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2696_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2696_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2696_fe0f/lottie.json
